TIME,N
3,2
3,3
3,0
3,1
3,1
3,1
3,4
3,0
3,4
3,2
3,4
3,2
3,3
3,2
3,3
3,1
3,0
3,3
3,5
3,2
3,4
3,2
3,5
3,2
3,3
3,4
3,3
3,2
3,2
3,3
3,4
3,0
3,4
3,4
3,5
3,2
3,5
3,0
3,7
3,2
3,4
3,2
3,4
3,2
3,2
3,3
3,3
3,5
3,4
3,2
3,2
3,1
3,1
3,1
3,3
3,4
3,3
3,3
3,1
3,4
3.333,3
3.333,1
3.333,1
3.333,2
3.333,1
3.333,2
3.333,1
3.333,0
3.333,1
3.333,0
3.333,0
3.333,1
3.333,2
3.333,0
3.333,2
3.333,0
3.333,1
3.333,1
3.333,2
3.333,0
3.333,4
3.333,2
3.333,1
3.333,4
3.333,3
3.333,1
3.333,1
3.333,2
3.333,1
3.333,1
3.333,1
3.333,0
3.333,0
3.333,2
3.333,4
3.333,0
3.333,1
3.333,1
3.333,0
3.333,5
3.333,2
3.333,1
3.333,0
3.333,1
3.333,2
3.333,0
3.333,0
3.333,3
3.333,4
3.333,0
3.333,2
3.333,1
3.333,2
3.333,0
3.333,0
3.333,3
3.333,3
3.333,0
3.333,1
3.333,0
3.667,0
3.667,3
3.667,0
3.667,1
3.667,0
3.667,0
3.667,0
3.667,1
3.667,0
3.667,0
3.667,0
3.667,0
3.667,1
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,1
3.667,0
3.667,1
3.667,1
3.667,0
3.667,0
3.667,1
3.667,0
3.667,1
3.667,0
3.667,0
3.667,0
3.667,2
3.667,0
3.667,1
3.667,1
3.667,0
3.667,1
3.667,0
3.667,1
3.667,0
3.667,0
3.667,0
3.667,2
3.667,1
3.667,1
3.667,0
3.667,0
3.667,0
3.667,0
3.667,0
3.667,1
3.667,1
3.667,1
3.667,0
3.667,1
3.667,2
3.667,1
3.667,2
3.667,1
3.667,0
3.667,0
4,0
4,1
4,0
4,0
4,0
4,2
4,0
4,0
4,0
4,0
4,2
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,1
4,0
4,0
4,0
4,1
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,0
4,1
4,0
4,0
4,0
4,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,1
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,1
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,0
4.333,1
4.333,0
4.333,0
4.333,1
4.333,0
4.333,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,1
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
4.667,0
